nombre,precio,ventas_q,clases_q,nivel,duracion,tema,plataforma,anio,mes,ventas_usd,idioma
Accounting Department's Tips & Tricks - Beginner to Advanced,95,1222,61,All Levels,6,Business Finance,udemy,2015,Octubre,116090,English
Certificate Program In Management Accounting,50,1532,24,All Levels,6,Business Finance,udemy,2014,Abril,76600,English
How I Trade Forex Successfully,0,5768,12,All Levels,1,Business Finance,udemy,2015,Noviembre,0,English
Professional Trading With Institutional Supply & Demand,200,343,37,All Levels,5,Business Finance,udemy,2014,Noviembre,68600,English
Master Calendar Spreads with this live trade on Gold (GLD),60,540,6,Advanced,1,Business Finance,udemy,2013,Marzo,32400,English
Accounting 101: Guide to Business Accounting,50,2031,29,Introductory,14,Business Finance,udemy,2014,Abril,101550,English
An Introduction to Financial Markets on Wall Street,30,7,29,All Levels,2,Business Finance,udemy,2017,Abril,210,English
Win 90% of Trades; Quantitative Investments Models in Excel,200,4,16,Introductory,1,Business Finance,udemy,2017,Junio,800,English
The Forex Pivot Points Trading Strategy,20,21,12,All Levels,2,Business Finance,udemy,2017,Marzo,420,English
Your Business by the Numbers,25,29,42,All Levels,3,Business Finance,udemy,2013,Septiembre,725,English
Forex - Trade Gartley with Precision - Complete Strategy,20,50,23,All Levels,1,Business Finance,udemy,2016,Julio,1000,English
Bitcoin & Ethereum Course (2 Course Bundle),200,1,52,All Levels,2,Business Finance,udemy,2017,Julio,200,English
Create Trading Robot Without Coding Skills!,145,5,13,All Levels,1,Business Finance,udemy,2017,Junio,725,English
Accounting and the Triple Bottom Line,30,6,19,Intermediate,0,Business Finance,udemy,2015,Julio,180,English
MQL5 - Beginner To Expert,45,16,16,Introductory,1,Business Finance,udemy,2017,Abril,720,no
How to be A High Performance Insurance Broker Part 2,40,70,15,All Levels,2,Business Finance,udemy,2014,Abril,2800,English
"CFA Level I Workshop 5: Corp Finance, Quants II & Derivative",20,110,5,All Levels,1,Business Finance,udemy,2013,Agosto,2200,English
Xero Bookkeeping Course & Certification by Accounting Firm,20,7,15,Introductory,2,Business Finance,udemy,2017,Febrero,140,English
Trading News Using Binary Options,145,1186,22,All Levels,1,Business Finance,udemy,2016,Mayo,171970,English
Trading Trends in ANY Market,30,632,22,All Levels,2,Business Finance,udemy,2015,Octubre,18960,English
Financial Statements Analysis: Learn to Invest Like a Pro!,50,1237,35,Introductory,2,Business Finance,udemy,2016,Febrero,61850,English
Contango VXX - ETF Options Trading - Double Your Investment,200,513,20,All Levels,1,Business Finance,udemy,2016,Octubre,102600,English
Mergers and Acquisitions M&A Essentials You Need to Know,95,4103,15,Introductory,1,Business Finance,udemy,2013,Noviembre,389785,English
TRADING MARKET MAP,45,1489,27,All Levels,3,Business Finance,udemy,2015,Julio,67005,sw
How To Confidently Join The Bitcoin Revolution,45,547,53,Introductory,7,Business Finance,udemy,2016,Enero,24615,English
High Probability Trading Across Any Market: Stocks & Forex,95,353,105,All Levels,18,Business Finance,udemy,2016,Diciembre,33535,English
Option Trading for Rookies: Make & Manage Profitable Trades,95,507,59,All Levels,2,Business Finance,udemy,2016,Septiembre,48165,English
Your First Successful Forex Trades - With Case Studies,200,1079,16,All Levels,2,Business Finance,udemy,2015,Mayo,215800,English
MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,180,3667,460,All Levels,43,Business Finance,udemy,2014,Diciembre,660060,English
"High-Frequency Trading #1: Basics, History & Strategies",50,2222,11,All Levels,0,Business Finance,udemy,2015,Septiembre,111100,English
Financial Accounting - The Ultimate Beginner Course,100,9,101,Introductory,10,Business Finance,udemy,2017,Abril,900,English
Level 1 2014 CFA® Program – Derivatives,40,225,17,All Levels,2,Business Finance,udemy,2014,Septiembre,9000,da
The Complete Investing Guide: How to Beat Wall Street,50,13,25,All Levels,5,Business Finance,udemy,2016,Junio,650,English
"Bitcoins - Past, Present, Future",20,373,14,Introductory,1,Business Finance,udemy,2014,Abril,7460,Français
Learn Accounting by Specific Examples - Part 1,50,306,5,All Levels,0,Business Finance,udemy,2014,Noviembre,15300,English
Forex: Presentation and  Analysis (Fundamental & Technical),50,14,22,Introductory,1,Business Finance,udemy,2016,Enero,700,English
Year-end QuickBooks Procedures,20,51,10,Introductory,2,Business Finance,udemy,2015,Febrero,1020,English
Price Action Gap Trading Strategies,20,13,5,Intermediate,1,Business Finance,udemy,2016,Diciembre,260,English
How to start a successful career in finance?,0,1318,27,All Levels,2,Business Finance,udemy,2016,Agosto,0,English
Level 1 2014 CFA® Program – Equity Investments,40,347,24,All Levels,4,Business Finance,udemy,2015,Enero,13880,English
Wealth Management,30,274,21,All Levels,3,Business Finance,udemy,2014,Diciembre,8220,English
Basics of Private Equity,60,9,6,Intermediate,0,Business Finance,udemy,2017,Mayo,540,English
Curso Completo del Mercado FOREX,200,359,50,All Levels,5,Business Finance,udemy,2015,Noviembre,71800,Spanish
Como Investir em Ações para Iniciantes,0,6024,18,All Levels,1,Business Finance,udemy,2014,Abril,0,Português
Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx! ,130,315,41,All Levels,5,Business Finance,udemy,2016,Enero,40950,Catalán
６時間でインターバンク市場を攻略！最短距離でトレード基礎力,35,280,54,All Levels,4,Business Finance,udemy,2015,Noviembre,9800,ja
Matemática Financeira de um jeito fácil,95,401,20,All Levels,1,Business Finance,udemy,2013,Julio,38095,Português
ビットコイン生態系｜既存通貨が主役をやめる日,20,701,16,Introductory,1,Business Finance,udemy,2014,Junio,14020,ja
Trading Forex - Trader avec les figures harmoniques,90,57,23,Introductory,2,Business Finance,udemy,2017,Marzo,5130,Français
Введение в Финансовую Инженерию,50,205,20,Introductory,5,Business Finance,udemy,2016,Noviembre,10250,ru
Aprenda a Investir no Tesouro Direto Passo a Passo,35,62,19,All Levels,1,Business Finance,udemy,2017,Abril,2170,Português
資産運用の基礎を学ぶファイナンス入門,20,114,52,Introductory,4,Business Finance,udemy,2016,Julio,2280,ja
Aprende a invertir y deja que tu dinero trabaje para ti,145,789,95,All Levels,14,Business Finance,udemy,2014,Marzo,114405,Spanish
Buchführung lernen leicht gemacht,40,446,70,Introductory,5,Business Finance,udemy,2016,Junio,17840,Deutsch
Day Trading: High ROI Day Trading ,150,17,51,Intermediate,6,Business Finance,udemy,2015,Julio,2550,tl
Flow Management and Forecasting,20,16,10,All Levels,1,Business Finance,udemy,2014,Septiembre,320,English
An Introduction to Management of Portfolios (MoP),20,117,6,Introductory,1,Business Finance,udemy,2014,Marzo,2340,English
CFA Level I Workshop 1: Ethics and Quantitative Methods,20,147,5,All Levels,1,Business Finance,udemy,2013,Agosto,2940,English
Accounting Basics 101 for Understanding Business,20,7,18,All Levels,1,Business Finance,udemy,2016,Enero,140,English
Mortgage Acceleration,20,247,17,All Levels,1,Business Finance,udemy,2015,Agosto,4940,English
Stock Market for Beginners. Learn to trade,35,143,42,All Levels,3,Business Finance,udemy,2013,Octubre,5005,sv
CFA Corporate Finance Level 1 (Part 1),180,621,107,All Levels,14,Business Finance,udemy,2014,Diciembre,111780,English
Trading Tips from Hedge Fund Manager,50,6,32,All Levels,1,Business Finance,udemy,2015,Julio,300,English
Effective Debt Collection Strategies,40,5,16,Intermediate,1,Business Finance,udemy,2015,Noviembre,200,English
IAS 1-Presentation of Financial Statements ,0,2674,8,All Levels,1,Business Finance,udemy,2014,Octubre,0,English
Stock Trading Strategies Using a D.A.R.T.,20,227,5,All Levels,1,Business Finance,udemy,2015,Mayo,4540,English
Capital Structuring Techiques for CA / CFA / CPA Exams,125,4480,50,Intermediate,7,Business Finance,udemy,2014,Diciembre,560000,English
The Complete Guide to Forex Trading,20,1329,33,All Levels,5,Business Finance,udemy,2017,Febrero,26580,English
Learn How to Trade Binary Options Professionally,0,5144,7,All Levels,1,Business Finance,udemy,2017,Febrero,0,English
Learn How to Start Small and Make It Big In Small-Cap Stocks,50,2635,29,Introductory,2,Business Finance,udemy,2016,Febrero,131750,English
Trading strategies with common sense technical analysis,75,1750,29,All Levels,3,Business Finance,udemy,2015,Julio,131250,English
Startup Business: How To Raise Seed Capital,95,3360,34,All Levels,3,Business Finance,udemy,2015,Marzo,319200,English
Business Economics - Basics (College Level),50,3425,50,All Levels,4,Business Finance,udemy,2015,Septiembre,171250,English
Technical Analysis 101: Master the Basics of Trading,95,2688,50,All Levels,2,Business Finance,udemy,2015,Mayo,255360,English
Investing in Stocks? Master The Art of Covered Calls Selling,80,1095,35,All Levels,3,Business Finance,udemy,2016,Julio,87600,English
How to Trade Binary Options Effectively – All Levels,195,1680,17,All Levels,1,Business Finance,udemy,2016,Enero,327600,English
Stock Market: The Zero Risk Way of Investing,25,2046,8,Introductory,0,Business Finance,udemy,2016,Marzo,51150,English
Forex Trading using professional indicators by TOP traders,200,1699,28,All Levels,3,Business Finance,udemy,2015,Julio,339800,English
Corporate Finance 101: Equity Valuation,50,1071,50,All Levels,6,Business Finance,udemy,2016,Marzo,53550,English
Trading Strategies: Find The Trading Strategy That Fits You,20,1037,12,All Levels,2,Business Finance,udemy,2015,Diciembre,20740,English
Forex Trading - Learn An Effective Forex Trading Strategy,95,223,16,All Levels,1,Business Finance,udemy,2016,Diciembre,21185,English
Navigate the 10-K and Other Financial Reports,40,653,20,All Levels,2,Business Finance,udemy,2014,Noviembre,26120,English
From 0 to 1: Investments and Portfolio Theory,50,230,22,Introductory,4,Business Finance,udemy,2017,Mayo,11500,English
Bitcoin - The Complete Guide,20,2281,24,All Levels,5,Business Finance,udemy,2014,Julio,45620,English
Professional Trader's Mindset - Complete Forex Course,50,4702,6,All Levels,1,Business Finance,udemy,2013,Junio,235100,English
Bitcoin Peer Investing: How To Generate Double Digit Returns,25,366,41,All Levels,2,Business Finance,udemy,2016,Enero,9150,English
Forex Breakout Profits: The Definitive Guide,25,521,27,All Levels,2,Business Finance,udemy,2014,Noviembre,13025,English
Learn to Trade With Fibonacci Tools,30,252,30,Intermediate,4,Business Finance,udemy,2016,Agosto,7560,English
"Investing Internationally into Real Estate, Stocks and Bonds",200,1101,37,All Levels,2,Business Finance,udemy,2016,Enero,220200,English
From 0 to 1: Bond Theory and Valuation,50,223,29,Introductory,4,Business Finance,udemy,2017,Mayo,11150,English
Stock Market Mastery,20,135,25,All Levels,7,Business Finance,udemy,2014,Junio,2700,sv
UK Self Assessment Tax Return Filing Online,20,23,6,All Levels,0,Business Finance,udemy,2015,Diciembre,460,Deutsch
Introduction to Financial Statements,40,112,14,Introductory,1,Business Finance,udemy,2015,Agosto,4480,English
"IAS 8-Accounting Policies ,Changes in Accounting Estimates",0,2122,15,All Levels,2,Business Finance,udemy,2014,Octubre,0,English
CFA® Level 1 2014 – Financial Reporting and Analysis,50,152,102,All Levels,10,Business Finance,udemy,2015,Febrero,7600,English
Investment Banking Operations : Securities Trade Life Cycle,30,267,10,All Levels,2,Business Finance,udemy,2015,Enero,8010,English
CFA Level I Foundation Course: Introduction to Quants,50,155,11,Introductory,5,Business Finance,udemy,2013,Agosto,7750,English
Financial Risk Manager (FRM) Certification: Level I,50,87,113,All Levels,24,Business Finance,udemy,2013,Octubre,4350,English
IAS 10 - Events After Reporting Date,0,2146,8,All Levels,1,Business Finance,udemy,2014,Mayo,0,English
Investment Portfolio Analysis with Excel,50,154,39,All Levels,9,Business Finance,udemy,2015,Noviembre,7700,English
Introduction to the CFA Program,0,4248,6,Introductory,1,Business Finance,udemy,2013,Agosto,0,English
Chartered Financial Analyst (CFA) - Level 1 - FRA,30,517,17,Introductory,14,Business Finance,udemy,2014,Junio,15510,English
Excel 4 Accounting & Bookkeeping - Master Lookup Functions,35,2638,12,All Levels,1,Business Finance,udemy,2016,Febrero,92330,English
Cashflow Management for Small Businesses: A How To Guide,25,2914,5,All Levels,0,Business Finance,udemy,2016,Junio,72850,English
Forex Basics (Professional Course Level),20,6050,25,All Levels,1,Business Finance,udemy,2014,Diciembre,121000,English
Advanced Butterfly Spreads for Options Income Strategies,60,16,8,Advanced,1,Business Finance,udemy,2017,Julio,960,English
The Holy Grail of Auto Trading Forex Futures Stocks Revealed,50,3917,7,All Levels,1,Business Finance,udemy,2016,Mayo,195850,English
IPO Fundamentals,20,1122,6,Introductory,1,Business Finance,udemy,2017,Marzo,22440,Catalán
Finance for Non-Finance: Learn Quick and Easy,20,4158,30,Introductory,2,Business Finance,udemy,2016,Febrero,83160,English
Advanced Options Trading Course,40,1252,6,Intermediate,0,Business Finance,udemy,2017,Junio,50080,English
Statistics - Measures of Dispersion for CA / CS / CFA exams,20,5108,13,All Levels,1,Business Finance,udemy,2015,Septiembre,102160,English
Work From Home Online (Part/Full) : Trade Forex 4 Beginners,45,2981,17,Introductory,1,Business Finance,udemy,2016,Octubre,134145,no
Financial Ratios Using Excel,100,1223,29,Introductory,1,Business Finance,udemy,2017,Marzo,122300,English
How To Start Trading Penny Stocks In 10 Easy Steps 2017,50,7750,15,All Levels,1,Business Finance,udemy,2014,Julio,387500,English
How to Copy the Best Traders on Etoro,90,564,41,All Levels,3,Business Finance,udemy,2014,Mayo,50760,English
How To Set Up A Limited Company In The UK,0,2075,11,Introductory,0,Business Finance,udemy,2015,Abril,0,English
Forex trading made simple,100,45,31,All Levels,1,Business Finance,udemy,2015,Septiembre,4500,Português
Financial and Business Simulation with Microsoft Excel,20,44,8,Advanced,0,Business Finance,udemy,2015,Marzo,880,English
10.  Bonds and Bond Pricing,20,308,10,All Levels,1,Business Finance,udemy,2014,Febrero,6160,English
Professional Risk Manager (PRM) Certification: Level 3,50,55,22,All Levels,12,Business Finance,udemy,2013,Julio,2750,English
Stocks: Quick Method to get started Investing,0,718,7,Introductory,1,Business Finance,udemy,2017,Mayo,0,English
The Fundamentals Of Finance For Non-Finance Professionals,40,206,7,All Levels,1,Business Finance,udemy,2016,Mayo,8240,English
Forex - Top Equity Management Strategy,20,18,13,All Levels,0,Business Finance,udemy,2016,Junio,360,English
The Truths about (in)secure Retirement,200,86,32,Intermediate,4,Business Finance,udemy,2016,Octubre,17200,English
Learn How to File Taxes for Uber and Lyft Drivers,40,294,25,All Levels,2,Business Finance,udemy,2015,Febrero,11760,English
Learn the Basics of the Wave Principle:,30,27,10,Introductory,1,Business Finance,udemy,2015,Julio,810,English
MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,195,375,26,All Levels,3,Business Finance,udemy,2017,Marzo,73125,English
Start Trading Stocks Using Technical Analysis! Part 2,95,94,25,All Levels,2,Business Finance,udemy,2017,Mayo,8930,English
Introduction to Corporate Finance (Mergers & Acquisitions),0,2080,30,Introductory,1,Business Finance,udemy,2017,Febrero,0,English
Forex & Financial Market Trading Tutorial- Online Strategies,0,3137,69,All Levels,9,Business Finance,udemy,2017,Abril,0,English
Learn to trade Candlestick Patterns,20,155,22,Intermediate,1,Business Finance,udemy,2016,Agosto,3100,English
High-Frequency Trading #2: Market Structure & Instruments,50,1732,12,All Levels,0,Business Finance,udemy,2015,Noviembre,86600,English
The Art Of Financial Valuation With Certificate,20,3372,12,All Levels,2,Business Finance,udemy,2013,Septiembre,67440,English
Sensitivity & Scenario Analysis for CA / CFA / CPA Exams,20,2185,13,All Levels,2,Business Finance,udemy,2015,Septiembre,43700,English
"Economics:   Competition, Elasticity, a little Game Theory",50,1008,42,All Levels,6,Business Finance,udemy,2016,Abril,50400,English
Quantitative Trading Analysis with Python,50,256,49,All Levels,5,Business Finance,udemy,2017,Enero,12800,English
Invest Like a Pro!,200,1173,15,Introductory,2,Business Finance,udemy,2015,Diciembre,234600,English
Options Trading Essentials: The ULTIMATE Guides,0,1352,20,All Levels,4,Business Finance,udemy,2017,Abril,0,English
ACCA FA1 Recording Financial Transactions,50,49,27,Introductory,3,Business Finance,udemy,2015,Julio,2450,English
CFA® Level 1 2014 – Portfolio Management,40,124,10,All Levels,2,Business Finance,udemy,2015,Marzo,4960,Italiano
Essentials Of Swing Trading Stocks,20,105,5,All Levels,1,Business Finance,udemy,2015,Junio,2100,English
Small Business and Managerial Accounting Training Tutorial,20,117,71,Introductory,3,Business Finance,udemy,2013,Junio,2340,English
Use Crowdfunding Effectively With Indiegogo and Kickstarter,0,6533,9,All Levels,2,Business Finance,udemy,2013,Junio,0,English
The Complete Litecoin Crypto Currency Bootcamp,20,7,24,All Levels,1,Business Finance,udemy,2017,Junio,140,English
Bank Reconciliation & VAT on Excel,20,30,19,All Levels,1,Business Finance,udemy,2014,Septiembre,600,English
Commodity Futures Day Trading Strategies,95,91,28,All Levels,5,Business Finance,udemy,2015,Agosto,8645,English
Learn to invest in the Stock Market,40,28,14,Introductory,1,Business Finance,udemy,2014,Noviembre,1120,English
FX Commodity Chart Trading Patterns for Success,50,83,15,All Levels,2,Business Finance,udemy,2015,Julio,4150,English
Forex Elite Trading,85,623,22,All Levels,6,Business Finance,udemy,2013,Octubre,52955,English
How to Invest in Startups - Expert Reveals Winning Secrets.,0,1625,145,All Levels,8,Business Finance,udemy,2016,Agosto,0,English
Kickstarter success in 5 easy steps,20,0,12,All Levels,0,Business Finance,udemy,2017,Mayo,0,English
Understanding Financial Statements,25,0,10,All Levels,1,Business Finance,udemy,2016,Diciembre,0,English
Planning and Executing a Financial Statement Audit,50,0,9,Intermediate,2,Business Finance,udemy,2017,Junio,0,English
The Latest Updates 2016 Financial Accounting Standards Board,50,1,9,Intermediate,2,Business Finance,udemy,2017,Junio,50,English
How to achieve personal transformation,20,0,10,All Levels,0,Business Finance,udemy,2016,Diciembre,0,English
Basic Bookkeeping,35,0,12,Introductory,0,Business Finance,udemy,2017,Mayo,0,English
"Credit concepts and checklist for bankers, credit analyst",20,0,10,Introductory,2,Business Finance,udemy,2017,Abril,0,English
Practical Film Financing: Finding & Pitching Investors,100,0,9,Introductory,1,Business Finance,udemy,2017,Julio,0,English
Ratio Analysis for Financial Statements,50,0,6,Introductory,2,Business Finance,udemy,2017,Julio,0,English
60 Minutes to Fundamental Accounting Skills,75,0,9,Introductory,2,Business Finance,udemy,2017,Junio,0,English
"Backspreads, Diagonals and Butterflies - Advanced Strategies",60,737,10,Advanced,2,Business Finance,udemy,2013,Marzo,44220,English
Trade Forex 13 Patterns - Golden Ratios Secret Revealed,200,554,44,All Levels,4,Business Finance,udemy,2015,Enero,110800,English
Crystal ball trading - foresee price with seasonal patterns,145,807,23,All Levels,6,Business Finance,udemy,2015,Junio,117015,English
Weekly Options and study of Options expiration dynamics,60,779,6,Advanced,1,Business Finance,udemy,2013,Marzo,46740,English
Cost Accounting Basics (Professional Course Level),20,1777,23,Introductory,1,Business Finance,udemy,2014,Diciembre,35540,English
Learn to Reliably Invest In The Stock Market,50,841,19,All Levels,0,Business Finance,udemy,2016,Julio,42050,English
Hedge Fund Trading Systems Part Two - Stocks & ETFs,200,56,23,Advanced,2,Business Finance,udemy,2017,Mayo,11200,English
Stock Market Option Trading: How Sell Options For Premium,200,1909,19,Intermediate,2,Business Finance,udemy,2015,Febrero,381800,English
Straddles and Strangles - Volatility moves in any direction,60,775,11,Advanced,1,Business Finance,udemy,2013,Marzo,46500,English
Debt Collection Management: Get Paid On Time EVERY TIME!,20,1255,38,All Levels,3,Business Finance,udemy,2015,Enero,25100,English
Learn about it,20,1193,27,All Levels,1,Business Finance,udemy,2014,Junio,23860,English
Trading: Basics of Trading for Beginners,140,1309,20,Introductory,1,Business Finance,udemy,2015,Noviembre,183260,English
Options Spreads Bundle-  the heart of Options Trading,120,623,8,Intermediate,2,Business Finance,udemy,2013,Febrero,74760,English
Trade the News in Forex: EA Robot Included,200,276,11,All Levels,0,Business Finance,udemy,2016,Agosto,55200,English
Investment Portfolio Analysis with R,50,314,37,All Levels,6,Business Finance,udemy,2016,Junio,15700,English
Basics of Economics For Beginners A to Z - A Complete Course,170,1942,24,Introductory,1,Business Finance,udemy,2015,Agosto,330140,English
Seeing the Big Picture: Understanding Financial Statements,50,885,14,All Levels,0,Business Finance,udemy,2015,Enero,44250,English
Financial Modeling for Professionals in 1 Day!,200,226,29,Intermediate,4,Business Finance,udemy,2016,Diciembre,45200,English
Create Your Own Automated Stock Trading Robot In EXCEL!,150,461,44,All Levels,5,Business Finance,udemy,2015,Diciembre,69150,English
FOREX: From Zero To Hero,150,152,26,All Levels,3,Business Finance,udemy,2017,Febrero,22800,nl
Learn Call Options and Put Options - Introduction to Options,60,1017,20,Introductory,3,Business Finance,udemy,2013,Febrero,61020,English
1. Principles of Simple Interest ,20,1074,13,All Levels,1,Business Finance,udemy,2014,Enero,21480,English
Double Entry Bookkeeping,50,440,10,Introductory,1,Business Finance,udemy,2016,Junio,22000,af
MQL5 Tutorial Bootcamp,20,978,13,Introductory,0,Business Finance,udemy,2016,Enero,19560,English
Succeed at Options Even If You Don't Know Where to Start,200,36,12,All Levels,1,Business Finance,udemy,2017,Abril,7200,English
"Buying, Selling, and Storing Precious Metal",20,74,14,All Levels,1,Business Finance,udemy,2013,Febrero,1480,English
Accounting Skills for Managers,20,78,10,Introductory,1,Business Finance,udemy,2012,Junio,1560,English
Analysis and Evaluation of Economic Feasibility of Projects,100,10,8,Intermediate,1,Business Finance,udemy,2016,Diciembre,1000,English
Technical Analysis: Understanding Price Action,45,39,37,All Levels,3,Business Finance,udemy,2016,Agosto,1755,English
Bitcoin For Beginners,50,37,22,Introductory,4,Business Finance,udemy,2014,Diciembre,1850,Deutsch
"IAS 16-Property,Plant and Equipment ",0,2166,20,All Levels,3,Business Finance,udemy,2014,Octubre,0,English
Basel II,50,78,57,All Levels,3,Business Finance,udemy,2014,Marzo,3900,id
Forex Trading Plan,50,21,24,All Levels,0,Business Finance,udemy,2016,Febrero,1050,English
Financial Modeling 101,0,1086,5,Introductory,0,Business Finance,udemy,2016,Diciembre,0,Italiano
Learn Financial Modeling from Scratch - Part1,50,7,29,All Levels,3,Business Finance,udemy,2016,Abril,350,English
Introduction to Small Business Accounting Training Tutorial,25,168,75,Introductory,3,Business Finance,udemy,2013,Enero,4200,English
Learn Basic Concepts of Economics Step by Step - Complete,150,2801,25,All Levels,1,Business Finance,udemy,2015,Agosto,420150,English
Introduction to Digital Payments ,0,12217,17,Introductory,1,Business Finance,udemy,2014,Abril,0,English
The Beginner's Guide to the Futures and Options Trading,0,6185,20,All Levels,3,Business Finance,udemy,2016,Enero,0,English
Bitcoin Investing: The Complete Buy & Hold Strategy,25,477,41,All Levels,4,Business Finance,udemy,2016,Enero,11925,English
Financial Modeling in Excel for Startups,50,1334,54,Introductory,6,Business Finance,udemy,2014,Enero,66700,English
Learn to Trade Forex Naked Price Action Big Shadow Trade,0,5407,11,Intermediate,1,Business Finance,udemy,2016,Enero,0,English
Forex Trading For Beginners ,0,9483,22,Introductory,2,Business Finance,udemy,2016,Enero,0,English
Build a Trading Comps Valuation Model,50,1032,55,All Levels,7,Business Finance,udemy,2014,Octubre,51600,English
The Advanced Forex Course for Smart Traders,0,8236,25,All Levels,5,Business Finance,udemy,2015,Octubre,0,English
Cost Accounting Overheads (Professional Course Level),20,2383,19,All Levels,2,Business Finance,udemy,2015,Marzo,47660,English
Beginners Guide to Stock Market Investing,0,3283,42,Introductory,2,Business Finance,udemy,2016,Septiembre,0,sv
Financial Management Capital Market Instruments,25,2650,17,Introductory,1,Business Finance,udemy,2015,Febrero,66250,Catalán
NPV and IRR Techniques for CA / CFA / CPA Exams,20,1551,55,Introductory,7,Business Finance,udemy,2014,Septiembre,31020,English
Commercial Credit Analysis,50,545,42,All Levels,7,Business Finance,udemy,2014,Marzo,27250,English
Essential Finance For Managers,25,663,79,All Levels,5,Business Finance,udemy,2015,Abril,16575,English
Bitcoin for Accountants,0,3519,6,Introductory,1,Business Finance,udemy,2015,Febrero,0,English
ProTrader -  Advanced Technical Analysis,125,825,34,All Levels,2,Business Finance,udemy,2016,Agosto,103125,English
Binary Options Masterclass,200,70,16,All Levels,2,Business Finance,udemy,2017,Febrero,14000,English
188% Profit in 1Year - Forex ALGO Robot Trading no indicator,120,357,20,All Levels,2,Business Finance,udemy,2016,Mayo,42840,English
"Financial Accounting, its Cycle, Statements & Analysis",20,853,35,Introductory,5,Business Finance,udemy,2016,Marzo,17060,English
Yield Curve Dynamics,50,397,19,All Levels,3,Business Finance,udemy,2014,Marzo,19850,English
Value Investing and Stock Market Fundamentals,195,74,17,Introductory,3,Business Finance,udemy,2016,Abril,14430,sv
Media Training for Financial Service Professionals,20,1254,64,All Levels,7,Business Finance,udemy,2014,Diciembre,25080,English
Learn the Forex Naked Price Action Pogo Trade,60,89,10,Intermediate,1,Business Finance,udemy,2016,Febrero,5340,English
Forex - Price action Reversal Strategy,20,38,16,All Levels,1,Business Finance,udemy,2016,Julio,760,English
Budget preparation for an EU project proposal,50,18,5,Intermediate,1,Business Finance,udemy,2015,Junio,900,English
Corporate Finance and Alternative Investment for CFA L1,20,103,27,All Levels,4,Business Finance,udemy,2015,Septiembre,2060,English
Don't Let Your Customers Run Your Business,50,7,28,Intermediate,2,Business Finance,udemy,2015,Octubre,350,Français
Stock Trading: Insider Tips For Determining Market Direction,95,104,11,All Levels,1,Business Finance,udemy,2015,Julio,9880,English
TopTrader Academy - Complete Options Course,150,42,11,All Levels,3,Business Finance,udemy,2016,Septiembre,6300,English
Working Capital Management for Entrepreneurs,20,507,15,Advanced,1,Business Finance,udemy,2014,Noviembre,10140,English
Learn Quickbooks to maintain books properly,20,241,26,Introductory,2,Business Finance,udemy,2015,Noviembre,4820,English
CFA Level I Foundation: Introduction to Financial Reporting,50,226,13,Introductory,5,Business Finance,udemy,2013,Agosto,11300,English
"Fixed Income Valuation and Analysis, CFA L2",20,50,12,All Levels,3,Business Finance,udemy,2016,Enero,1000,English
Corporation Tax Returns UK,50,100,25,All Levels,2,Business Finance,udemy,2015,Julio,5000,English
Trading For Busy People,50,99,26,All Levels,3,Business Finance,udemy,2015,Julio,4950,English
Basics of Trading,40,99,27,Introductory,1,Business Finance,udemy,2015,Abril,3960,English
CFP - Introduction to Financial Planning,30,1192,38,Introductory,12,Business Finance,udemy,2014,Febrero,35760,English
Investment Portfolio Analysis with Python,50,209,37,All Levels,7,Business Finance,udemy,2016,Julio,10450,English
Day Trading Market Structure Signals,0,5529,5,All Levels,2,Business Finance,udemy,2014,Junio,0,English
Professional Bookkeeping and Accounting 3: Double Entry ,35,81,33,All Levels,1,Business Finance,udemy,2016,Enero,2835,English
"Accounting Basics by Hector Garcia, CPA",0,1924,5,Introductory,1,Business Finance,udemy,2016,Febrero,0,English
Stock Markets: How I Became Rich By Changing How I Trade,20,646,17,All Levels,1,Business Finance,udemy,2015,Septiembre,12920,English
Learn About Bitcoin and Bitcoin Mining,20,520,9,Introductory,0,Business Finance,udemy,2015,Mayo,10400,English
Take Control By Learning The Stock Market Now,30,1440,21,Introductory,1,Business Finance,udemy,2015,Marzo,43200,English
Cost Accounting and Financial Management - A Complete Study,150,452,444,All Levels,45,Business Finance,udemy,2016,Marzo,67800,English
Learn Global Macro Trading & Investing for Retail Investor,75,178,27,All Levels,1,Business Finance,udemy,2016,Julio,13350,English
Energiespar-Formel // Mehr Geld durch Wasser sparen Zuhause,50,21,54,All Levels,1,Business Finance,udemy,2017,Abril,1050,Deutsch
high swing - كورس لتعليم جميع مراحل احتراف تداول الفوركس,100,12,17,Intermediate,2,Business Finance,udemy,2017,Mayo,1200,ar
TRADER BOT: Introdução à Linguagem MQL5,20,209,33,All Levels,70,Business Finance,udemy,2014,Marzo,4180,Português
财务分析与估值建模入门,0,505,10,Introductory,1,Business Finance,udemy,2016,Diciembre,0,zh-cn
Aprende desde cero a operar el mercado de divisas FOREX,90,16,24,All Levels,4,Business Finance,udemy,2015,Octubre,1440,Spanish
Cómo usar Metatrader 4 para hacer trading?,20,25,25,All Levels,6,Business Finance,udemy,2015,Julio,500,Spanish
Zoho Books Gestion Financière d'Entreprise pas à pas,0,229,33,All Levels,2,Business Finance,udemy,2017,Mayo,0,Français
