nombre,precio,ventas_q,clases_q,nivel,duracion,tema,plataforma,anio,mes,ventas_usd,idioma
Futures/Commodity Training (Basics),0,4863,6,Introductory,1,Business Finance,udemy,2015,Febrero,0,English
Cost Accounting Marginal Costing Theory and Practice,20,1923,31,All Levels,2,Business Finance,udemy,2015,Marzo,38460,English
The Big Volatility Short: The Best Trade On Wall Street!,200,224,16,All Levels,1,Business Finance,udemy,2016,Abril,44800,English
Master Finance in Three Hours,20,721,29,Introductory,3,Business Finance,udemy,2014,Octubre,14420,English
Learn Options on Futures for Hedging Options and Stocks,60,51,6,Advanced,0,Business Finance,udemy,2017,Mayo,3060,English
Option selling trading as income source. Beginners friendly,195,1276,61,All Levels,6,Business Finance,udemy,2015,Abril,248820,English
Introduction to Value Growth Investing,0,2768,10,All Levels,1,Business Finance,udemy,2016,Diciembre,0,English
Become A Forex Trader - Forex trading like a professional,0,1735,19,All Levels,2,Business Finance,udemy,2017,Mayo,0,English
Hedge Fund Trading System,0,8985,12,All Levels,1,Business Finance,udemy,2015,Marzo,0,Deutsch
Bulletproof Personal Finance: Expert Asset Allocation,45,1119,18,All Levels,1,Business Finance,udemy,2016,Febrero,50355,English
Financial Accounting: The Complete Introductory Crash Course,100,2591,69,All Levels,10,Business Finance,udemy,2015,Enero,259100,English
Learn About Trading Options from a real wallstreet trader,20,1046,12,All Levels,1,Business Finance,udemy,2016,Febrero,20920,English
Forex Rate -Why it fluctuates -for CA / CMA / CS / CFA Exams,20,2239,7,All Levels,1,Business Finance,udemy,2015,Septiembre,44780,English
How to Build a Massive Stock Portfolio from Zero!,200,1882,129,All Levels,11,Business Finance,udemy,2015,Julio,376400,English
Introductory Forex Trading Course,0,5931,15,Introductory,3,Business Finance,udemy,2016,Mayo,0,English
Budgeting Hacks to Build Wealth!,0,4931,7,Introductory,0,Business Finance,udemy,2016,Mayo,0,English
Accounting and Finance for Bankers - A Comprehensive Study,180,3056,316,All Levels,24,Business Finance,udemy,2015,Abril,550080,English
Forex Prep Academy for Beginners-Real trades!,75,1303,44,Introductory,3,Business Finance,udemy,2015,Junio,97725,English
Accounting for Deferred Taxes (Professional Course Level),25,2924,11,All Levels,1,Business Finance,udemy,2015,Enero,73100,English
TRADING TRUTHS,50,1405,27,All Levels,2,Business Finance,udemy,2015,Junio,70250,vi
