nombre,ventas_q,formato,institucion,nivel,tema,idioma,precio,duracion,plataforma,ventas_usd
"U.S. Public Policy: Social, Economic, and Foreign Policies",44045,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,49,8,edx,2158205
Machine Learning with Python: from Linear Models to Deep Learning,85561,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Computer Science,English,300,150,edx,25668300
Introduction to Data Science,43766,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,39,18,edx,1706874
Circuits and Electronics 1: Basic Circuit Analysis,52639,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Electronics,English,169,25,edx,8895991
Introduction to Investments,91788,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,50,15,edx,4589400
Improving Your Business Through a Culture of Health,54136,Self-paced on your time,Harvard University,Introductory,Business & Management,English,99,9,edx,5359464
Introduction to Linear Models and Matrix Algebra,92004,Self-paced on your time,Harvard University,Intermediate,Math,English,149,8,edx,13708596
DO Your Venture: Entrepreneurship For Everyone,61989,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,English,150,18,edx,9298350
El valor de la creatividad y la innovación: La Economía Naranja,23728,Self-paced on your time,Inter-American Development Bank,Introductory,Art & Culture,Español,25,16,edx,593200
Humanitarian Response to Conflict and Disaster,119891,Self-paced on your time,Harvard University,Introductory,Health & Safety,English,99,15,edx,11869209
"Women Making History: Ten Objects, Many Stories",38939,Self-paced on your time,Harvard University,Introductory,History,English,99,16,edx,3854961
Masterpieces of World Literature,88789,Self-paced on your time,Harvard University,Introductory,Literature,English,149,60,edx,13229561
SQL for Data Science,39184,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,39,8,edx,1528176
El cerebro y las emociones en el lenguaje,41279,Self-paced on your time,Universidad del Rosario,Introductory,Communication,Español,49,20,edx,2022671
Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),62673,Self-paced on your time,Harvard University,Introductory,Physics,English,169,32,edx,10591737
Python: aprender a programar,21613,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,49,24,edx,1059037
Marketing Analytics: Competitive Analysis and Market Segmentation,70682,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,249,20,edx,17599818
MalariaX: Defeating Malaria from the Genes to the Globe,37598,Self-paced on your time,Harvard University,Intermediate,Biology & Life Sciences,English,49,24,edx,1842302
Entrepreneurship in Emerging Economies,113602,Self-paced on your time,Harvard University,Introductory,Business & Management,English,125,18,edx,14200250
JavaScript Introduction,160112,Self-paced on your time,The World Wide Web Consortium (W3C),Introductory,Computer Science,English,199,30,edx,31862288
People Management,113592,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,English,150,12,edx,17038800
Using Email for Networking in English,57208,Self-paced on your time,University of Washington,Introductory,Language,English,149,12,edx,8523992
