nombre,ventas_q,formato,institucion,nivel,tema,idioma,precio,duracion,plataforma,ventas_usd
Administración pública y fiscal: cómo se gestiona un gobierno,49189,Self-paced on your time,Inter-American Development Bank,Introductory,Economics & Finance,Español,25,30,edx,1229725
Fundamentals of Red Hat Enterprise Linux,53788,Self-paced on your time,Red Hat,Introductory,Computer Science,English,99,9,edx,5325012
Algorithms,61722,Self-paced on your time,IITBombay,Intermediate,Computer Science,English,149,36,edx,9196578
Calculus Applied!,54976,Self-paced on your time,Harvard University,Intermediate,Math,English,99,30,edx,5442624
Precalculus,55576,Self-paced on your time,Arizona State University,Intermediate,Math,English,49,135,edx,2723224
Fundamentos de anatomía y técnica quirúrgica básica,12133,Instructor-led on a course schedule,Universidad del Rosario,Introductory,Medicine,Español,49,16,edx,594517
Business Communications,60713,Self-paced on your time,University of British Columbia,Introductory,Business & Management,English,150,18,edx,9106950
Italian Language and Culture: Intermediate (2019-2020),35058,Self-paced on your time,Wellesley College,Intermediate,Language,Italiano,49,36,edx,1717842
International Women's Health and Human Rights,9796,Self-paced on your time,Stanford University,Introductory,Social Sciences,English,50,10,edx,489800
Blockchain: Understanding Its Uses and Implications,66769,Self-paced on your time,The Linux Foundation,Introductory,Business & Management,English,199,28,edx,13287031
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",22366,Self-paced on your time,Imperial College London,Intermediate,Math,English,49,14,edx,1095934
Blockchain Technology,55376,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,99,18,edx,5482224
Basics of Power BI,8314,Self-paced on your time,Rolls-Royce,Introductory,Data Analysis & Statistics,English,49,2,edx,407386
Preparing to Network in English,34337,Self-paced on your time,University of Washington,Introductory,Language,English,149,18,edx,5116213
Mandarin Chinese Essentials,36665,Self-paced on your time,MandarinX,Introductory,Language,English,99,20,edx,3629835
Human Rights: The Rights of Refugees,84270,Self-paced on your time,Amnesty International,Introductory,Humanities,English,49,9,edx,4129230
What do Architects and Urban Planners do?,11046,Self-paced on your time,Wits University,Introductory,Architecture,English,49,6,edx,541254
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",22723,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,49,8,edx,1113427
Negotiation Skills and Effective Communication,8146,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,149,20,edx,1213754
AP® English Literature & Composition – Part 1: Stories,15650,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,49,28,edx,766850
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",28710,Self-paced on your time,IsraelX-Tel Aviv University,Introductory,Medicine,English,149,14,edx,4277790
Alianzas: un vehículo para lograr el desarrollo sostenible,17554,Self-paced on your time,Inter-American Development Bank,Introductory,Social Sciences,Español,25,30,edx,438850
Designing and Creating Skirts,13954,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Design,English,99,15,edx,1381446
Cómo Aprender Online,7958,Self-paced on your time,edX,Introductory,Education & Teacher Training,Español,49,4,edx,389942
Computing in Python II: Control Structures,31511,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,99,45,edx,3119589
Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,29614,Self-paced on your time,Universidad Galileo,Introductory,Communication,Español,49,15,edx,1451086
Machine Learning Fundamentals,82008,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,English,350,80,edx,28702800
Pre-University Calculus,103224,Self-paced on your time,Delft University of Technology,Introductory,Math,English,50,48,edx,5161200
Tsinghua Chinese: Start Talking with 1.3 Billion People,58834,Self-paced on your time,Tsinghua University,Introductory,Language,English,49,12,edx,2882866
Deep Learning with Python and PyTorch,36195,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,99,12,edx,3583305
Diseña presentaciones eficaces con Powerpoint,36663,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,50,12,edx,1833150
World of Wine: From Grape to Glass,81839,Self-paced on your time,University of Adelaide,Introductory,Science,English,199,12,edx,16285961
Sustainable Cities,16619,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,49,36,edx,814331
Introduction to Developmental Psychology,38060,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,99,8,edx,3767940
Creativity & Entrepreneurship,69413,Self-paced on your time,Berklee College of Music,Introductory,Business & Management,English,49,12,edx,3401237
College Algebra and Problem Solving,103010,Self-paced on your time,Arizona State University,Introductory,Math,English,49,120,edx,5047490
Academic writing for clarity and meaning,16220,Self-paced on your time,Wits University,Introductory,Education & Teacher Training,English,49,4,edx,794780
Financial Development and Financial Inclusion,13853,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,25,56,edx,346325
Global Public Health,17273,Self-paced on your time,SDG Academy,Intermediate,Health & Safety,English,49,40,edx,846377
Embedded Systems - Shape The World: Microcontroller Input/Output,69182,Self-paced on your time,The University of Texas at Austin,Intermediate,Computer Science,English,49,64,edx,3389918
Introduction to Animal Behaviour,42135,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,49,24,edx,2064615
Circular Economy: An Introduction,50240,Self-paced on your time,Delft University of Technology,Introductory,Business & Management,English,50,21,edx,2512000
Public Financial Management,23288,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,25,32,edx,582200
Anatomy: Human Neuroanatomy,49319,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,49,24,edx,2416631
Android: Introducción a la Programación,85786,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,50,40,edx,4289300
The Ancient Greek Hero,51744,Instructor-led on a course schedule,Harvard University,Introductory,Humanities,English,99,144,edx,5122656
Agile Leadership Principles and Practices,31838,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,199,8,edx,6335762
How to Code: Simple Data,98113,Self-paced on your time,University of British Columbia,Introductory,Computer Science,English,125,14,edx,12264125
Cybersecurity and Privacy in the IoT,21440,Self-paced on your time,Curtin University,Introductory,Computer Science,English,199,20,edx,4266560
Strategic Management,71085,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,English,150,15,edx,10662750
Introducción a la ciencia de datos y sus aplicaciones,7303,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,39,18,edx,284817
"Biochemistry: Biomolecules, Methods, and Mechanisms",18692,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Biology & Life Sciences,English,150,36,edx,2803800
Astronomía Virtual,10500,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,29,35,edx,304500
Nutrition and Cancer,27144,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,English,99,30,edx,2687256
Build your very first iOS app,31570,Instructor-led on a course schedule,Curtin University,Introductory,Computer Science,English,149,64,edx,4703930
Object-Oriented Programming,93633,Self-paced on your time,IITBombay,Introductory,Computer Science,English,149,24,edx,13951317
Introduction to Jenkins,7233,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,199,20,edx,1439367
Conducting an Informational Interview,15594,Self-paced on your time,University of Washington,Introductory,Language,English,99,24,edx,1543806
Liderazgo y comportamiento organizacional,21419,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,149,20,edx,3191431
Creative Coding,18660,Instructor-led on a course schedule,New York University,Introductory,Design,English,249,112,edx,4646340
Análisis estadístico con Excel,22717,Self-paced on your time,Universidad Galileo,Introductory,Data Analysis & Statistics,Español,49,12,edx,1113133
Introducción a la Ingeniería del Software,17931,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,49,20,edx,878619
Computer Graphics,98553,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,99,36,edx,9756747
Data Science: Computational Thinking with Python,78232,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,199,20,edx,15568168
Comunicación efectiva para el líder actual,18470,Self-paced on your time,Tecnológico de Monterrey,Introductory,Communication,Español,149,20,edx,2752030
Debate y argumentación,10954,Self-paced on your time,Universidad del Rosario,Introductory,Humanities,Español,49,16,edx,536746
Deep Learning with Tensorflow,37564,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,99,10,edx,3718836
Machine Learning (aprendizaje automático) con Python: una introducción práctica,39155,Self-paced on your time,IBM,Introductory,Computer Science,Español,49,20,edx,1918595
Essential Human Biology: Cells and Tissues,67961,Self-paced on your time,University of Adelaide,Introductory,Medicine,English,169,10,edx,11485409
"Writing, Presenting and Submitting Scientific Papers in English | 英文科技论文写作与学术报告",35720,Self-paced on your time,Tsinghua University,Intermediate,Communication,English,49,10,edx,1750280
Computing in Python III: Data Structures,27239,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,99,45,edx,2696661
Introduction to Internet of Things (IoT),6703,Self-paced on your time,Rolls-Royce,Introductory,Data Analysis & Statistics,English,49,2,edx,328447
Nutrition and Health: Food Risks,51493,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,49,48,edx,2523157
Mechanics: Kinematics and Dynamics,35529,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Physics,English,49,120,edx,1740921
Storytelling for Social Change,30313,Self-paced on your time,The University of Michigan,Introductory,Communication,English,49,5,edx,1485337
Introduction to Data Analytics for Managers,39113,Self-paced on your time,The University of Michigan,Introductory,Business & Management,English,49,12,edx,1916537
Qualitative Research Methods: Conversational Interviewing,21972,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Humanities,English,49,6,edx,1076628
International Project Management,45145,Self-paced on your time,Rochester Institute of Technology,Advanced,Business & Management,English,150,72,edx,6771750
Software Development Fundamentals,51402,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,149,24,edx,7658898
"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",17484,Self-paced on your time,Harvard University,Introductory,Humanities,English,49,9,edx,856716
Critical Thinking & Problem Solving,6558,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,199,12,edx,1305042
Data Analysis Essentials,42262,Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,79,24,edx,3338698
Master Control in Supply Chain Management and Logistics,31326,Self-paced on your time,Chalmers University of Technology,Introductory,Business & Management,English,49,28,edx,1534974
Work and Employment for a Sustainable Future,6528,Self-paced on your time,SDG Academy,Intermediate,Economics & Finance,English,49,12,edx,319872
Foundations of Data Structures,54075,Self-paced on your time,IITBombay,Intermediate,Computer Science,English,149,36,edx,8057175
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",31024,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,25,48,edx,775600
IoT System Design: Software and Hardware Integration,13608,Self-paced on your time,Waseda University,Intermediate,Computer Science,English,99,16,edx,1347192
English for Doing Business in Asia – Writing,44252,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Humanities,English,60,21,edx,2655120
Working in Teams: A Practical Guide,43981,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,49,24,edx,2155069
Introducción a los encofrados y las cimbras en obra civil y edificación,16029,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Engineering,Español,50,8,edx,801450
AI Chatbots without Programming,35440,Self-paced on your time,IBM,Introductory,Computer Science,English,99,4,edx,3508560
Introducción a la Ciencia de Datos y el Big Data,16268,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,49,12,edx,797132
Just Money: Banking as if Society Mattered,25553,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,49,48,edx,1252097
Introducción a R,6431,Self-paced on your time,Universidades Anáhuac,Introductory,Data Analysis & Statistics,Español,49,20,edx,315119
Computing in Python IV: Objects & Algorithms,28112,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,99,45,edx,2783088
Adobe Illustrator: aprende a crear presentaciones de impacto,18613,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Design,Español,15,45,edx,279195
Teaching Critical Thinking through Art with the National Gallery of Art,18595,Self-paced on your time,The Smithsonian Institution,Introductory,Education & Teacher Training,English,25,48,edx,464875
Word intermedio: herramientas de formato y productividad,10265,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,Español,50,24,edx,513250
Introducción a las finanzas: Principios de valoración,17344,Self-paced on your time,Universidad del Rosario,Intermediate,Economics & Finance,Español,49,24,edx,849856
Aprende a diseñar jardines verticales y cuadros vivos,6341,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Biology & Life Sciences,Español,29,4,edx,183889
"Anatomy: Cardiovascular, Urinary, and Respiratory Systems",36917,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,49,8,edx,1808933
Software Engineering: Introduction,35524,Self-paced on your time,University of British Columbia,Advanced,Computer Science,English,125,48,edx,4440500
Structure of Materials,13042,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Engineering,English,150,96,edx,1956300
Fundamentos de fotografía documental,13036,Self-paced on your time,Universidad del Rosario,Introductory,Art & Culture,Español,49,24,edx,638764
AP® Italian Language and Culture (2020-2021),39398,Self-paced on your time,Wellesley College,Advanced,Humanities,Italiano,49,36,edx,1930502
Computer Hardware and Operating Systems,9715,Self-paced on your time,New York University,Introductory,Computer Science,English,150,18,edx,1457250
Marketing Management,43415,Instructor-led on a course schedule,"The University of Maryland, College Park-University System of Maryland",Advanced,Business & Management,English,214,56,edx,9290810
You Can Innovate: User  Innovation & Entrepreneurship,18974,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,49,20,edx,929726
Analytics in Python,82210,Instructor-led on a course schedule,Columbia University,Intermediate,Business & Management,English,249,96,edx,20470290
Bases Matemáticas: Álgebra,35811,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Math,Español,50,12,edx,1790550
HTML5 Apps and Games,86850,Self-paced on your time,The World Wide Web Consortium (W3C),Advanced,Computer Science,English,199,24,edx,17283150
MATLAB and Octave for Beginners,68706,Self-paced on your time,École polytechnique fédérale de Lausanne,Introductory,Computer Science,English,139,20,edx,9550134
AP Physics 1,43401,Self-paced on your time,Rice University,Introductory,Physics,English,49,54,edx,2126649
The Divine Comedy: Dante's Journey to Freedom,12005,Self-paced on your time,Georgetown University,Introductory,Humanities,English,49,72,edx,588245
Linux Basics: The Command Line Interface,32726,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,49,21,edx,1603574
Entrepreneurial Operations: Launching a Startup,23808,Self-paced on your time,Babson College,Intermediate,Business & Management,English,149,16,edx,3547392
Maths Essentials,44642,Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,79,12,edx,3526718
"Marketing Analytics: Products, Distribution and Sales",50588,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,249,20,edx,12596412
Marketing Innovative Products and Services,6293,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,149,8,edx,937657
Just Reading and Writing in English | 生活英语读写,33303,Self-paced on your time,Tsinghua University,Introductory,Art & Culture,English,149,30,edx,4962147
Introduction to Java Programming – Part 1,270376,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Computer Science,English,99,15,edx,26767224
Comunicación y Redacción Digital,7165,Self-paced on your time,Universidades Anáhuac,Introductory,Communication,Español,29,12,edx,207785
Monetary Policy Analysis and Forecasting,6616,Self-paced on your time,The International Monetary Fund,Advanced,Economics & Finance,English,25,48,edx,165400
Basic Analytical Chemistry,19010,Self-paced on your time,The University of Tokyo,Introductory,Chemistry,English,49,18,edx,931490
Identifying Entrepreneurial Opportunities,11922,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,149,8,edx,1776378
"ChinaX Book Club: Five Authors, Five Books, Five Views of China",5855,Self-paced on your time,Harvard University,Introductory,Literature,English,139,5,edx,813845
Astrophysics: Cosmology,83322,Self-paced on your time,Australian National University,Intermediate,Physics,English,50,20,edx,4166100
Japanese Culture and Language (I) |日语与日本文化（1）,18489,Self-paced on your time,Tsinghua University,Introductory,Art & Culture,中文,139,30,edx,2569971
COVID-19 Training for Healthcare Workers,5742,Self-paced on your time,Stanford University,Introductory,Medicine,English,10,2,edx,57420
The Rise of Superheroes and Their Impact On Pop Culture,31368,Self-paced on your time,The Smithsonian Institution,Introductory,Humanities,English,50,6,edx,1568400
Introduction to Aeronautical Engineering,99971,Self-paced on your time,Delft University of Technology,Introductory,Engineering,English,50,70,edx,4998550
Diseño de Jardines,5683,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Biology & Life Sciences,Español,29,4,edx,164807
"Introducción al griego clásico: lengua, nombres y mitología",18849,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Language,Español,49,20,edx,923601
Deep Learning Fundamentals with Keras,32140,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,99,10,edx,3181860
Existential Well-being Counseling: A Person-centered Experiential Approach,48439,Self-paced on your time,KU Leuven University,Introductory,Humanities,English,49,72,edx,2373511
Solid Waste Management,7668,Self-paced on your time,World Bank Group,Introductory,Environmental Studies,English,5,12,edx,38340
Retail Fundamentals,37558,Self-paced on your time,Dartmouth College,Intermediate,Business & Management,English,99,12,edx,3718242
Greatest Unsolved Mysteries of the Universe,93965,Self-paced on your time,Australian National University,Intermediate,Physics,English,50,18,edx,4698250
"Money Markets, Foreign Exchange and Time Value of Money",12230,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,199,4,edx,2433770
Gestión de Contenidos Digitales y Marketing Turístico de Ciudad,14627,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Communication,Español,49,36,edx,716723
Designing the User Experience,6416,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,199,8,edx,1276784
Introduction to Bioconductor,36370,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,149,8,edx,5419130
Connected Strategy,10355,Self-paced on your time,The Wharton School of the University of Pennsylvania,Intermediate,Business & Management,English,199,12,edx,2060645
Hybrid Vehicles,18294,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,249,60,edx,4555206
First Nights - Handel's Messiah and Baroque Oratorio,18029,Self-paced on your time,Harvard University,Introductory,Humanities,English,49,9,edx,883421
Statistical Inference and Modeling for High-throughput Experiments,51590,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,149,8,edx,7686910
First Nights - Monteverdi’s L’Orfeo and the Birth of Opera,13300,Self-paced on your time,Harvard University,Introductory,Humanities,English,49,9,edx,651700
18th-Century Opera: Handel & Mozart,18331,Self-paced on your time,Harvard University,Introductory,Music,English,99,15,edx,1814769
Introduction to video game development with Unity,7605,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,English,50,18,edx,380250
Best Practices for Project Management Success,46610,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,150,88,edx,6991500
Fundamentos de la Tecnología Blockchain,5473,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Economics & Finance,Español,49,35,edx,268177
Información financiera y su análisis,5473,Self-paced on your time,Tecnológico de Monterrey,Advanced,Economics & Finance,Español,49,20,edx,268177
Coaching Skills for Learner-Centred Conversations,8089,Self-paced on your time,Imperial College London,Introductory,Education & Teacher Training,English,49,4,edx,396361
Intellectual Property Law and Policy: Part 1,43993,Self-paced on your time,University of Pennsylvania,Intermediate,Law,English,169,12,edx,7434817
Robotics,68199,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,249,80,edx,16981551
La gestion des ressources humaines,6824,Self-paced on your time,HEC Montréal,Introductory,Business & Management,Français,99,7,edx,675576
Writing for Social Justice,9927,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,50,16,edx,496350
Steps in Japanese for Beginners1 Part2,8080,Self-paced on your time,Waseda University,Introductory,Language,English,99,15,edx,799920
Case Studies in Functional Genomics,26850,Self-paced on your time,Harvard University,Advanced,Data Analysis & Statistics,English,149,10,edx,4000650
Essential Career Skills for Investment Banking and Finance,11655,Self-paced on your time,NYIF,Introductory,Business & Management,English,49,6,edx,571095
Data Structures and Software Design,30609,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,149,32,edx,4560741
Unconscious Bias: From Awareness to Action,26659,Self-paced on your time,Catalyst,Introductory,Communication,English,49,3,edx,1306291
Cybersecurity for Critical Urban Infrastructure,5306,Self-paced on your time,Massachusetts Institute of Technology,Advanced,Computer Science,English,100,12,edx,530600
"Agile Process, Project, and Program Controls",16339,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,199,8,edx,3251461
Risk Management in Development Projects,13263,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,English,25,20,edx,331575
"Pintura europea: Leonardo, Rembrandt, Goya",32635,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Humanities,Español,29,14,edx,946415
Risk & Return,21970,Self-paced on your time,Columbia University,Introductory,Business & Management,English,225,12,edx,4943250
Project Management of Engineering Projects: Preparing for Success,42834,Instructor-led on a course schedule,Delft University of Technology,Intermediate,Business & Management,English,99,40,edx,4240566
Supply Chain Dynamics,75464,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Business & Management,English,299,104,edx,22563736
AWS Developer: Building on AWS,54249,Self-paced on your time,Amazon Web Services,Advanced,Computer Science,English,149,18,edx,8083101
Financial Accounting Made Fun: Eliminating Your Fears,36787,Self-paced on your time,Babson College,Introductory,Business & Management,English,199,16,edx,7320613
PredictionX: John Snow and the Cholera Epidemic of 1854,17713,Self-paced on your time,Harvard University,Introductory,History,English,25,3,edx,442825
Gestión de operaciones,9512,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,119,30,edx,1131928
Microeconomics & Business,10962,Self-paced on your time,Doane University,Introductory,Economics & Finance,English,79,80,edx,865998
Inteligencia artificial: Chatbots sin programación,5001,Self-paced on your time,IBM,Introductory,Computer Science,Español,49,4,edx,245049
Diseño e innovación de modelo de negocios,7180,Self-paced on your time,Tecnológico de Monterrey,Advanced,Business & Management,Español,99,20,edx,710820
Unlocking Investment and Finance in Emerging Markets and Developing Economies (EMDEs),29171,Self-paced on your time,World Bank Group,Introductory,Economics & Finance,English,5,16,edx,145855
Business Communication,0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,199,12,edx,0
Gestão de riscos em projetos,8771,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Português,25,30,edx,219275
Vocal Recording Technology,52369,Self-paced on your time,Berklee College of Music,Introductory,Engineering,English,49,30,edx,2566081
Agua 2.0: empresas eficientes para el siglo XXI,0,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Español,25,16,edx,0
IoT Sensors and Devices,33072,Self-paced on your time,Curtin University,Introductory,Computer Science,English,199,20,edx,6581328
Introducción a las tecnologías para la Educación,31533,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,49,15,edx,1545117
Fundamentos de la guitarra eléctrica y acústica,13124,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,49,12,edx,643076
e-Learning on Digital Agriculture,6238,Self-paced on your time,World Bank Group,Introductory,Environmental Studies,English,5,10,edx,31190
Exploring GraphQL: A Query Language for APIs,9503,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,149,7,edx,1415947
EmSAT English Preparation - Level 2,7346,Self-paced on your time,United Arab Emirates University,Intermediate,Language,English,49,12,edx,359954
The Data Science Method,7868,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,39,21,edx,306852
"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源",21291,Self-paced on your time,Tsinghua University,Introductory,Humanities,English,49,16,edx,1043259
"Cosmic Rays, Dark Matter, and the Mysteries of the Universe",12888,Self-paced on your time,Waseda University,Intermediate,Physics,English,49,12,edx,631512
Macroeconomic Diagnostics,23408,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,25,36,edx,585200
BioStatistics,14937,Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,79,40,edx,1180023
Results-Based Project Management: Monitoring and Evaluation,32810,Self-paced on your time,Wits University,Intermediate,Business & Management,English,199,24,edx,6529190
Estrategias y estilos de negociación,12639,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,149,20,edx,1883211
Políticas efectivas de desarrollo infantil,64387,Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,Español,25,40,edx,1609675
Alzheimer’s Disease & Dementia Care,5763,Self-paced on your time,Salisbury University-University System of Maryland,Intermediate,Medicine,English,49,10,edx,282387
Understanding Classroom Interaction,27114,Self-paced on your time,University of Pennsylvania,Introductory,Education & Teacher Training,English,49,10,edx,1328586
Sign Language Science: Emergence and Evolution of Sign Language,8313,Self-paced on your time,Georgetown University,Introductory,Language,English,99,12,edx,822987
International Humanitarian Law,31419,Self-paced on your time,Université catholique de Louvain,Advanced,Law,English,150,48,edx,4712850
"Educación de calidad para todos: equidad, inclusión y atención a la diversidad",25111,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Education & Teacher Training,Español,49,18,edx,1230439
Introduction to Astrophysics,20802,Self-paced on your time,École polytechnique fédérale de Lausanne,Introductory,Physics,English,139,21,edx,2891478
Epidemics I,10618,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,139,10,edx,1475902
Introducción a la genética y la evolución,15297,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Biology & Life Sciences,Español,49,6,edx,749553
Fundamentals of Macroeconomics,17820,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Economics & Finance,English,129,12,edx,2298780
"Blockchain and FinTech: Basics, Applications, and Limitations",22011,Self-paced on your time,University of Hong Kong,Introductory,Computer Science,English,199,18,edx,4380189
Molecular Biology - Part 2: Transcription and Transposition,18168,Self-paced on your time,Massachusetts Institute of Technology,Advanced,Biology & Life Sciences,English,99,28,edx,1798632
"One Planet, One Ocean",12166,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,49,24,edx,596134
Reputation Management in a Digital World,39672,Self-paced on your time,Curtin University,Intermediate,Communication,English,99,18,edx,3927528
Google Ads: publicidad efectiva,12084,Self-paced on your time,Universidad Galileo,Introductory,Business & Management,Español,49,10,edx,592116
Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,14673,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Engineering,Español,50,12,edx,733650
Computer Vision Fundamentals with Watson and OpenCV,7032,Self-paced on your time,IBM,Introductory,Computer Science,English,99,98,edx,696168
Japanese Business Management,14852,Self-paced on your time,Waseda University,Intermediate,Business & Management,English,129,12,edx,1915908
Introduction to Cloud Computing,0,Self-paced on your time,IBM,Introductory,Computer Science,English,49,6,edx,0
Fundamentos de logística,7397,Self-paced on your time,LOGYCA,Introductory,Engineering,Español,29,20,edx,214513
Sustainable Urban Development,45760,Self-paced on your time,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,Introductory,Social Sciences,English,50,28,edx,2288000
Introduction to Biomedical Imaging,56485,Self-paced on your time,The University of Queensland,Introductory,Medicine,English,99,48,edx,5592015
Introducción a la programación en Java: empezando a programar,23321,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Computer Science,Español,49,35,edx,1142729
"Circuits and Electronics 2: Amplification, Speed, and Delay",9665,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Electronics,English,169,35,edx,1633385
China’s Political and Intellectual Foundations: From Sage Kings to Confucius,47083,Self-paced on your time,Harvard University,Introductory,History,English,139,15,edx,6544537
Introduction to DevOps and Site Reliability Engineering,8697,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,149,10,edx,1295853
